"date","geo","parent_sector","naics","value"
2020-01-01,"British Columbia","total goods","Goods-producing sector",510600
2020-01-01,"British Columbia","goods","Agriculture",25400
2020-01-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",45100
2020-01-01,"British Columbia","goods","Utilities",14500
2020-01-01,"British Columbia","goods","Construction",257000
2020-01-01,"British Columbia","goods","Manufacturing",168600
2020-01-01,"British Columbia","total services","Services-producing sector",2162600
2020-01-01,"British Columbia","services","Wholesale and retail trade",430100
2020-01-01,"British Columbia","services","Transportation and warehousing",144100
2020-01-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",171300
2020-01-01,"British Columbia","services","Professional, scientific and technical services",238800
2020-01-01,"British Columbia","services","Business, building and other support services",113500
2020-01-01,"British Columbia","services","Educational services",183800
2020-01-01,"British Columbia","services","Health care and social assistance",329600
2020-01-01,"British Columbia","services","Information, culture and recreation",124500
2020-01-01,"British Columbia","services","Accommodation and food services",202900
2020-01-01,"British Columbia","services","Other services (except public administration)",109200
2020-01-01,"British Columbia","services","Public administration",114800
2020-02-01,"British Columbia","all industries","Total employed, all industries",2666700
2020-02-01,"British Columbia","total goods","Goods-producing sector",503300
2020-02-01,"British Columbia","goods","Agriculture",24000
2020-02-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",40300
2020-02-01,"British Columbia","goods","Utilities",16200
2020-02-01,"British Columbia","goods","Construction",262400
2020-02-01,"British Columbia","goods","Manufacturing",160400
2020-02-01,"British Columbia","total services","Services-producing sector",2163400
2020-02-01,"British Columbia","services","Wholesale and retail trade",435200
2020-02-01,"British Columbia","services","Transportation and warehousing",144400
2020-02-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",176100
2020-02-01,"British Columbia","services","Professional, scientific and technical services",234100
2020-02-01,"British Columbia","services","Business, building and other support services",114800
2020-02-01,"British Columbia","services","Educational services",175600
2020-02-01,"British Columbia","services","Health care and social assistance",332600
2020-02-01,"British Columbia","services","Information, culture and recreation",122700
2020-02-01,"British Columbia","services","Accommodation and food services",203400
2020-02-01,"British Columbia","services","Other services (except public administration)",110400
2020-02-01,"British Columbia","services","Public administration",114000
2020-03-01,"British Columbia","all industries","Total employed, all industries",2493100
2020-03-01,"British Columbia","total goods","Goods-producing sector",500400
2020-03-01,"British Columbia","goods","Agriculture",26300
2020-03-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",42100
2020-03-01,"British Columbia","goods","Utilities",17300
2020-03-01,"British Columbia","goods","Construction",245200
2020-03-01,"British Columbia","goods","Manufacturing",169500
2020-03-01,"British Columbia","total services","Services-producing sector",1992700
2020-03-01,"British Columbia","services","Wholesale and retail trade",387700
2020-03-01,"British Columbia","services","Transportation and warehousing",135800
2020-03-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",168100
2020-03-01,"British Columbia","services","Professional, scientific and technical services",233500
2020-03-01,"British Columbia","services","Business, building and other support services",94600
2020-03-01,"British Columbia","services","Educational services",161900
2020-03-01,"British Columbia","services","Health care and social assistance",321200
2020-03-01,"British Columbia","services","Information, culture and recreation",102700
2020-03-01,"British Columbia","services","Accommodation and food services",161200
2020-03-01,"British Columbia","services","Other services (except public administration)",108100
2020-03-01,"British Columbia","services","Public administration",117900
2020-04-01,"British Columbia","all industries","Total employed, all industries",2235700
2020-04-01,"British Columbia","total goods","Goods-producing sector",453800
2020-04-01,"British Columbia","goods","Agriculture",21600
2020-04-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",40400
2020-04-01,"British Columbia","goods","Utilities",19200
2020-04-01,"British Columbia","goods","Construction",214300
2020-04-01,"British Columbia","goods","Manufacturing",158200
2020-04-01,"British Columbia","total services","Services-producing sector",1782000
2020-04-01,"British Columbia","services","Wholesale and retail trade",340700
2020-04-01,"British Columbia","services","Transportation and warehousing",127600
2020-04-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",164900
2020-04-01,"British Columbia","services","Professional, scientific and technical services",234200
2020-04-01,"British Columbia","services","Business, building and other support services",82200
2020-04-01,"British Columbia","services","Educational services",157500
2020-04-01,"British Columbia","services","Health care and social assistance",305800
2020-04-01,"British Columbia","services","Information, culture and recreation",85200
2020-04-01,"British Columbia","services","Accommodation and food services",90700
2020-04-01,"British Columbia","services","Other services (except public administration)",76500
2020-04-01,"British Columbia","services","Public administration",116700
2020-05-01,"British Columbia","all industries","Total employed, all industries",2286700
2020-05-01,"British Columbia","total goods","Goods-producing sector",459000
2020-05-01,"British Columbia","goods","Agriculture",25600
2020-05-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",38000
2020-05-01,"British Columbia","goods","Utilities",19000
2020-05-01,"British Columbia","goods","Construction",216300
2020-05-01,"British Columbia","goods","Manufacturing",160100
2020-05-01,"British Columbia","total services","Services-producing sector",1827600
2020-05-01,"British Columbia","services","Wholesale and retail trade",357100
2020-05-01,"British Columbia","services","Transportation and warehousing",124000
2020-05-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",166400
2020-05-01,"British Columbia","services","Professional, scientific and technical services",230500
2020-05-01,"British Columbia","services","Business, building and other support services",81400
2020-05-01,"British Columbia","services","Educational services",171200
2020-05-01,"British Columbia","services","Health care and social assistance",303100
2020-05-01,"British Columbia","services","Information, culture and recreation",92500
2020-05-01,"British Columbia","services","Accommodation and food services",105400
2020-05-01,"British Columbia","services","Other services (except public administration)",79200
2020-05-01,"British Columbia","services","Public administration",116900
2020-06-01,"British Columbia","all industries","Total employed, all industries",2411900
2020-06-01,"British Columbia","total goods","Goods-producing sector",463300
2020-06-01,"British Columbia","goods","Agriculture",28700
2020-06-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",40000
2020-06-01,"British Columbia","goods","Utilities",20700
2020-06-01,"British Columbia","goods","Construction",220100
2020-06-01,"British Columbia","goods","Manufacturing",153800
2020-06-01,"British Columbia","total services","Services-producing sector",1948600
2020-06-01,"British Columbia","services","Wholesale and retail trade",362400
2020-06-01,"British Columbia","services","Transportation and warehousing",126700
2020-06-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",170400
2020-06-01,"British Columbia","services","Professional, scientific and technical services",237700
2020-06-01,"British Columbia","services","Business, building and other support services",87000
2020-06-01,"British Columbia","services","Educational services",171300
2020-06-01,"British Columbia","services","Health care and social assistance",318800
2020-06-01,"British Columbia","services","Information, culture and recreation",95100
2020-06-01,"British Columbia","services","Accommodation and food services",173500
2020-06-01,"British Columbia","services","Other services (except public administration)",85600
2020-06-01,"British Columbia","services","Public administration",120100
2020-07-01,"British Columbia","all industries","Total employed, all industries",2475900
2020-07-01,"British Columbia","total goods","Goods-producing sector",465300
2020-07-01,"British Columbia","goods","Agriculture",24600
2020-07-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",39400
2020-07-01,"British Columbia","goods","Utilities",19200
2020-07-01,"British Columbia","goods","Construction",215900
2020-07-01,"British Columbia","goods","Manufacturing",166200
2020-07-01,"British Columbia","total services","Services-producing sector",2010600
2020-07-01,"British Columbia","services","Wholesale and retail trade",391100
2020-07-01,"British Columbia","services","Transportation and warehousing",130600
2020-07-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",171200
2020-07-01,"British Columbia","services","Professional, scientific and technical services",241700
2020-07-01,"British Columbia","services","Business, building and other support services",86000
2020-07-01,"British Columbia","services","Educational services",157100
2020-07-01,"British Columbia","services","Health care and social assistance",322000
2020-07-01,"British Columbia","services","Information, culture and recreation",101700
2020-07-01,"British Columbia","services","Accommodation and food services",196200
2020-07-01,"British Columbia","services","Other services (except public administration)",93100
2020-07-01,"British Columbia","services","Public administration",119800
2020-08-01,"British Columbia","all industries","Total employed, all industries",2492100
2020-08-01,"British Columbia","total goods","Goods-producing sector",489600
2020-08-01,"British Columbia","goods","Agriculture",33800
2020-08-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",40100
2020-08-01,"British Columbia","goods","Utilities",20600
2020-08-01,"British Columbia","goods","Construction",222900
2020-08-01,"British Columbia","goods","Manufacturing",172400
2020-08-01,"British Columbia","total services","Services-producing sector",2002500
2020-08-01,"British Columbia","services","Wholesale and retail trade",393100
2020-08-01,"British Columbia","services","Transportation and warehousing",132400
2020-08-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",172200
2020-08-01,"British Columbia","services","Professional, scientific and technical services",239800
2020-08-01,"British Columbia","services","Business, building and other support services",85200
2020-08-01,"British Columbia","services","Educational services",154100
2020-08-01,"British Columbia","services","Health care and social assistance",311300
2020-08-01,"British Columbia","services","Information, culture and recreation",93300
2020-08-01,"British Columbia","services","Accommodation and food services",198100
2020-08-01,"British Columbia","services","Other services (except public administration)",101100
2020-08-01,"British Columbia","services","Public administration",122000
2020-09-01,"British Columbia","all industries","Total employed, all industries",2562100
2020-09-01,"British Columbia","total goods","Goods-producing sector",482200
2020-09-01,"British Columbia","goods","Agriculture",29600
2020-09-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",40600
2020-09-01,"British Columbia","goods","Utilities",20000
2020-09-01,"British Columbia","goods","Construction",215900
2020-09-01,"British Columbia","goods","Manufacturing",176100
2020-09-01,"British Columbia","total services","Services-producing sector",2079900
2020-09-01,"British Columbia","services","Wholesale and retail trade",393600
2020-09-01,"British Columbia","services","Transportation and warehousing",134700
2020-09-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",173900
2020-09-01,"British Columbia","services","Professional, scientific and technical services",242900
2020-09-01,"British Columbia","services","Business, building and other support services",102600
2020-09-01,"British Columbia","services","Educational services",181100
2020-09-01,"British Columbia","services","Health care and social assistance",319000
2020-09-01,"British Columbia","services","Information, culture and recreation",116200
2020-09-01,"British Columbia","services","Accommodation and food services",186700
2020-09-01,"British Columbia","services","Other services (except public administration)",104800
2020-09-01,"British Columbia","services","Public administration",124500
2020-10-01,"British Columbia","all industries","Total employed, all industries",2595100
2020-10-01,"British Columbia","total goods","Goods-producing sector",486000
2020-10-01,"British Columbia","goods","Agriculture",35100
2020-10-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",44200
2020-10-01,"British Columbia","goods","Utilities",19500
2020-10-01,"British Columbia","goods","Construction",210400
2020-10-01,"British Columbia","goods","Manufacturing",176900
2020-10-01,"British Columbia","total services","Services-producing sector",2109100
2020-10-01,"British Columbia","services","Wholesale and retail trade",391100
2020-10-01,"British Columbia","services","Transportation and warehousing",133700
2020-10-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",174100
2020-10-01,"British Columbia","services","Professional, scientific and technical services",248600
2020-10-01,"British Columbia","services","Business, building and other support services",101300
2020-10-01,"British Columbia","services","Educational services",184900
2020-10-01,"British Columbia","services","Health care and social assistance",333400
2020-10-01,"British Columbia","services","Information, culture and recreation",121500
2020-10-01,"British Columbia","services","Accommodation and food services",188300
2020-10-01,"British Columbia","services","Other services (except public administration)",106100
2020-10-01,"British Columbia","services","Public administration",126200
2020-11-01,"British Columbia","all industries","Total employed, all industries",2611800
2020-11-01,"British Columbia","total goods","Goods-producing sector",490600
2020-11-01,"British Columbia","goods","Agriculture",33900
2020-11-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",47600
2020-11-01,"British Columbia","goods","Utilities",17600
2020-11-01,"British Columbia","goods","Construction",217300
2020-11-01,"British Columbia","goods","Manufacturing",174200
2020-11-01,"British Columbia","total services","Services-producing sector",2121100
2020-11-01,"British Columbia","services","Wholesale and retail trade",394100
2020-11-01,"British Columbia","services","Transportation and warehousing",145000
2020-11-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",168700
2020-11-01,"British Columbia","services","Professional, scientific and technical services",247700
2020-11-01,"British Columbia","services","Business, building and other support services",106300
2020-11-01,"British Columbia","services","Educational services",186600
2020-11-01,"British Columbia","services","Health care and social assistance",329200
2020-11-01,"British Columbia","services","Information, culture and recreation",115400
2020-11-01,"British Columbia","services","Accommodation and food services",191500
2020-11-01,"British Columbia","services","Other services (except public administration)",108800
2020-11-01,"British Columbia","services","Public administration",127800
2020-12-01,"British Columbia","all industries","Total employed, all industries",2613800
2020-12-01,"British Columbia","total goods","Goods-producing sector",507500
2020-12-01,"British Columbia","goods","Agriculture",28800
2020-12-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",49800
2020-12-01,"British Columbia","goods","Utilities",17300
2020-12-01,"British Columbia","goods","Construction",231600
2020-12-01,"British Columbia","goods","Manufacturing",180100
2020-12-01,"British Columbia","total services","Services-producing sector",2106300
2020-12-01,"British Columbia","services","Wholesale and retail trade",389200
2020-12-01,"British Columbia","services","Transportation and warehousing",141200
2020-12-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",166200
2020-12-01,"British Columbia","services","Professional, scientific and technical services",248600
2020-12-01,"British Columbia","services","Business, building and other support services",108100
2020-12-01,"British Columbia","services","Educational services",188400
2020-12-01,"British Columbia","services","Health care and social assistance",331700
2020-12-01,"British Columbia","services","Information, culture and recreation",109200
2020-12-01,"British Columbia","services","Accommodation and food services",185000
2020-12-01,"British Columbia","services","Other services (except public administration)",105800
2020-12-01,"British Columbia","services","Public administration",133000
2021-01-01,"British Columbia","all industries","Total employed, all industries",2625900
2021-01-01,"British Columbia","total goods","Goods-producing sector",503800
2021-01-01,"British Columbia","goods","Agriculture",26900
2021-01-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",49200
2021-01-01,"British Columbia","goods","Utilities",20000
2021-01-01,"British Columbia","goods","Construction",233000
2021-01-01,"British Columbia","goods","Manufacturing",174800
2021-01-01,"British Columbia","total services","Services-producing sector",2122100
2021-01-01,"British Columbia","services","Wholesale and retail trade",388300
2021-01-01,"British Columbia","services","Transportation and warehousing",143900
2021-01-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",165200
2021-01-01,"British Columbia","services","Professional, scientific and technical services",257200
2021-01-01,"British Columbia","services","Business, building and other support services",104200
2021-01-01,"British Columbia","services","Educational services",183400
2021-01-01,"British Columbia","services","Health care and social assistance",336800
2021-01-01,"British Columbia","services","Information, culture and recreation",119100
2021-01-01,"British Columbia","services","Accommodation and food services",177100
2021-01-01,"British Columbia","services","Other services (except public administration)",110200
2021-01-01,"British Columbia","services","Public administration",136800
2021-02-01,"British Columbia","all industries","Total employed, all industries",2642500
2021-02-01,"British Columbia","total goods","Goods-producing sector",487500
2021-02-01,"British Columbia","goods","Agriculture",24500
2021-02-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",49900
2021-02-01,"British Columbia","goods","Utilities",19900
2021-02-01,"British Columbia","goods","Construction",227400
2021-02-01,"British Columbia","goods","Manufacturing",165800
2021-02-01,"British Columbia","total services","Services-producing sector",2155000
2021-02-01,"British Columbia","services","Wholesale and retail trade",397000
2021-02-01,"British Columbia","services","Transportation and warehousing",148900
2021-02-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",168300
2021-02-01,"British Columbia","services","Professional, scientific and technical services",259200
2021-02-01,"British Columbia","services","Business, building and other support services",102800
2021-02-01,"British Columbia","services","Educational services",187200
2021-02-01,"British Columbia","services","Health care and social assistance",336700
2021-02-01,"British Columbia","services","Information, culture and recreation",116600
2021-02-01,"British Columbia","services","Accommodation and food services",183500
2021-02-01,"British Columbia","services","Other services (except public administration)",115200
2021-02-01,"British Columbia","services","Public administration",139600
2021-03-01,"British Columbia","all industries","Total employed, all industries",2663800
2021-03-01,"British Columbia","total goods","Goods-producing sector",502300
2021-03-01,"British Columbia","goods","Agriculture",25000
2021-03-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",50000
2021-03-01,"British Columbia","goods","Utilities",18900
2021-03-01,"British Columbia","goods","Construction",231300
2021-03-01,"British Columbia","goods","Manufacturing",177100
2021-03-01,"British Columbia","total services","Services-producing sector",2161500
2021-03-01,"British Columbia","services","Wholesale and retail trade",393800
2021-03-01,"British Columbia","services","Transportation and warehousing",146100
2021-03-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",169500
2021-03-01,"British Columbia","services","Professional, scientific and technical services",260800
2021-03-01,"British Columbia","services","Business, building and other support services",104000
2021-03-01,"British Columbia","services","Educational services",188100
2021-03-01,"British Columbia","services","Health care and social assistance",346300
2021-03-01,"British Columbia","services","Information, culture and recreation",126200
2021-03-01,"British Columbia","services","Accommodation and food services",182600
2021-03-01,"British Columbia","services","Other services (except public administration)",109100
2021-03-01,"British Columbia","services","Public administration",135100
2021-04-01,"British Columbia","all industries","Total employed, all industries",2628000
2021-04-01,"British Columbia","total goods","Goods-producing sector",511100
2021-04-01,"British Columbia","goods","Agriculture",25200
2021-04-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",50700
2021-04-01,"British Columbia","goods","Utilities",19700
2021-04-01,"British Columbia","goods","Construction",228900
2021-04-01,"British Columbia","goods","Manufacturing",186800
2021-04-01,"British Columbia","total services","Services-producing sector",2116900
2021-04-01,"British Columbia","services","Wholesale and retail trade",386000
2021-04-01,"British Columbia","services","Transportation and warehousing",141700
2021-04-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",174400
2021-04-01,"British Columbia","services","Professional, scientific and technical services",267000
2021-04-01,"British Columbia","services","Business, building and other support services",105000
2021-04-01,"British Columbia","services","Educational services",186000
2021-04-01,"British Columbia","services","Health care and social assistance",343200
2021-04-01,"British Columbia","services","Information, culture and recreation",120900
2021-04-01,"British Columbia","services","Accommodation and food services",151700
2021-04-01,"British Columbia","services","Other services (except public administration)",107900
2021-04-01,"British Columbia","services","Public administration",133200
2021-05-01,"British Columbia","all industries","Total employed, all industries",2633500
2021-05-01,"British Columbia","total goods","Goods-producing sector",501000
2021-05-01,"British Columbia","goods","Agriculture",20000
2021-05-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",54700
2021-05-01,"British Columbia","goods","Utilities",20700
2021-05-01,"British Columbia","goods","Construction",225700
2021-05-01,"British Columbia","goods","Manufacturing",179900
2021-05-01,"British Columbia","total services","Services-producing sector",2132400
2021-05-01,"British Columbia","services","Wholesale and retail trade",388900
2021-05-01,"British Columbia","services","Transportation and warehousing",147800
2021-05-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",167900
2021-05-01,"British Columbia","services","Professional, scientific and technical services",263800
2021-05-01,"British Columbia","services","Business, building and other support services",102900
2021-05-01,"British Columbia","services","Educational services",184900
2021-05-01,"British Columbia","services","Health care and social assistance",342500
2021-05-01,"British Columbia","services","Information, culture and recreation",124900
2021-05-01,"British Columbia","services","Accommodation and food services",165500
2021-05-01,"British Columbia","services","Other services (except public administration)",109800
2021-05-01,"British Columbia","services","Public administration",133400
2021-06-01,"British Columbia","all industries","Total employed, all industries",2664300
2021-06-01,"British Columbia","total goods","Goods-producing sector",487800
2021-06-01,"British Columbia","goods","Agriculture",20200
2021-06-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",50200
2021-06-01,"British Columbia","goods","Utilities",21500
2021-06-01,"British Columbia","goods","Construction",217800
2021-06-01,"British Columbia","goods","Manufacturing",178100
2021-06-01,"British Columbia","total services","Services-producing sector",2176500
2021-06-01,"British Columbia","services","Wholesale and retail trade",397600
2021-06-01,"British Columbia","services","Transportation and warehousing",147000
2021-06-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",169200
2021-06-01,"British Columbia","services","Professional, scientific and technical services",269600
2021-06-01,"British Columbia","services","Business, building and other support services",101200
2021-06-01,"British Columbia","services","Educational services",184900
2021-06-01,"British Columbia","services","Health care and social assistance",349400
2021-06-01,"British Columbia","services","Information, culture and recreation",129500
2021-06-01,"British Columbia","services","Accommodation and food services",177700
2021-06-01,"British Columbia","services","Other services (except public administration)",113500
2021-06-01,"British Columbia","services","Public administration",137100
2021-07-01,"British Columbia","all industries","Total employed, all industries",2672700
2021-07-01,"British Columbia","total goods","Goods-producing sector",496000
2021-07-01,"British Columbia","goods","Agriculture",19100
2021-07-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",51300
2021-07-01,"British Columbia","goods","Utilities",17700
2021-07-01,"British Columbia","goods","Construction",234900
2021-07-01,"British Columbia","goods","Manufacturing",172900
2021-07-01,"British Columbia","total services","Services-producing sector",2176700
2021-07-01,"British Columbia","services","Wholesale and retail trade",392700
2021-07-01,"British Columbia","services","Transportation and warehousing",146600
2021-07-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",173200
2021-07-01,"British Columbia","services","Professional, scientific and technical services",265400
2021-07-01,"British Columbia","services","Business, building and other support services",103900
2021-07-01,"British Columbia","services","Educational services",187300
2021-07-01,"British Columbia","services","Health care and social assistance",354900
2021-07-01,"British Columbia","services","Information, culture and recreation",118600
2021-07-01,"British Columbia","services","Accommodation and food services",179300
2021-07-01,"British Columbia","services","Other services (except public administration)",117300
2021-07-01,"British Columbia","services","Public administration",137500
2021-08-01,"British Columbia","all industries","Total employed, all industries",2682000
2021-08-01,"British Columbia","total goods","Goods-producing sector",500400
2021-08-01,"British Columbia","goods","Agriculture",15800
2021-08-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",45800
2021-08-01,"British Columbia","goods","Utilities",14500
2021-08-01,"British Columbia","goods","Construction",233500
2021-08-01,"British Columbia","goods","Manufacturing",190800
2021-08-01,"British Columbia","total services","Services-producing sector",2181600
2021-08-01,"British Columbia","services","Wholesale and retail trade",406000
2021-08-01,"British Columbia","services","Transportation and warehousing",146800
2021-08-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",172400
2021-08-01,"British Columbia","services","Professional, scientific and technical services",262800
2021-08-01,"British Columbia","services","Business, building and other support services",95700
2021-08-01,"British Columbia","services","Educational services",179400
2021-08-01,"British Columbia","services","Health care and social assistance",355800
2021-08-01,"British Columbia","services","Information, culture and recreation",130200
2021-08-01,"British Columbia","services","Accommodation and food services",186900
2021-08-01,"British Columbia","services","Other services (except public administration)",111500
2021-08-01,"British Columbia","services","Public administration",134200
2021-09-01,"British Columbia","all industries","Total employed, all industries",2685400
2021-09-01,"British Columbia","total goods","Goods-producing sector",505500
2021-09-01,"British Columbia","goods","Agriculture",17800
2021-09-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",48900
2021-09-01,"British Columbia","goods","Utilities",15800
2021-09-01,"British Columbia","goods","Construction",232200
2021-09-01,"British Columbia","goods","Manufacturing",190700
2021-09-01,"British Columbia","total services","Services-producing sector",2179900
2021-09-01,"British Columbia","services","Wholesale and retail trade",399700
2021-09-01,"British Columbia","services","Transportation and warehousing",146700
2021-09-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",166300
2021-09-01,"British Columbia","services","Professional, scientific and technical services",257300
2021-09-01,"British Columbia","services","Business, building and other support services",93100
2021-09-01,"British Columbia","services","Educational services",187600
2021-09-01,"British Columbia","services","Health care and social assistance",353500
2021-09-01,"British Columbia","services","Information, culture and recreation",135500
2021-09-01,"British Columbia","services","Accommodation and food services",187600
2021-09-01,"British Columbia","services","Other services (except public administration)",107800
2021-09-01,"British Columbia","services","Public administration",144800
2021-10-01,"British Columbia","all industries","Total employed, all industries",2687200
2021-10-01,"British Columbia","total goods","Goods-producing sector",501200
2021-10-01,"British Columbia","goods","Agriculture",20000
2021-10-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",46700
2021-10-01,"British Columbia","goods","Utilities",15800
2021-10-01,"British Columbia","goods","Construction",229300
2021-10-01,"British Columbia","goods","Manufacturing",189500
2021-10-01,"British Columbia","total services","Services-producing sector",2186000
2021-10-01,"British Columbia","services","Wholesale and retail trade",416800
2021-10-01,"British Columbia","services","Transportation and warehousing",148700
2021-10-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",168600
2021-10-01,"British Columbia","services","Professional, scientific and technical services",253300
2021-10-01,"British Columbia","services","Business, building and other support services",91000
2021-10-01,"British Columbia","services","Educational services",183600
2021-10-01,"British Columbia","services","Health care and social assistance",361200
2021-10-01,"British Columbia","services","Information, culture and recreation",135600
2021-10-01,"British Columbia","services","Accommodation and food services",180100
2021-10-01,"British Columbia","services","Other services (except public administration)",104000
2021-10-01,"British Columbia","services","Public administration",143100
2021-11-01,"British Columbia","all industries","Total employed, all industries",2704500
2021-11-01,"British Columbia","total goods","Goods-producing sector",497600
2021-11-01,"British Columbia","goods","Agriculture",21400
2021-11-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",41800
2021-11-01,"British Columbia","goods","Utilities",15000
2021-11-01,"British Columbia","goods","Construction",215600
2021-11-01,"British Columbia","goods","Manufacturing",203800
2021-11-01,"British Columbia","total services","Services-producing sector",2206900
2021-11-01,"British Columbia","services","Wholesale and retail trade",427900
2021-11-01,"British Columbia","services","Transportation and warehousing",146800
2021-11-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",171400
2021-11-01,"British Columbia","services","Professional, scientific and technical services",265900
2021-11-01,"British Columbia","services","Business, building and other support services",88300
2021-11-01,"British Columbia","services","Educational services",186200
2021-11-01,"British Columbia","services","Health care and social assistance",365900
2021-11-01,"British Columbia","services","Information, culture and recreation",133700
2021-11-01,"British Columbia","services","Accommodation and food services",181400
2021-11-01,"British Columbia","services","Other services (except public administration)",102700
2021-11-01,"British Columbia","services","Public administration",136800
2021-12-01,"British Columbia","all industries","Total employed, all industries",2696800
2021-12-01,"British Columbia","total goods","Goods-producing sector",491500
2021-12-01,"British Columbia","goods","Agriculture",20900
2021-12-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",43500
2021-12-01,"British Columbia","goods","Utilities",15100
2021-12-01,"British Columbia","goods","Construction",218600
2021-12-01,"British Columbia","goods","Manufacturing",193500
2021-12-01,"British Columbia","total services","Services-producing sector",2205300
2021-12-01,"British Columbia","services","Wholesale and retail trade",431100
2021-12-01,"British Columbia","services","Transportation and warehousing",143500
2021-12-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",160800
2021-12-01,"British Columbia","services","Professional, scientific and technical services",262800
2021-12-01,"British Columbia","services","Business, building and other support services",88700
2021-12-01,"British Columbia","services","Educational services",188500
2021-12-01,"British Columbia","services","Health care and social assistance",373700
2021-12-01,"British Columbia","services","Information, culture and recreation",140400
2021-12-01,"British Columbia","services","Accommodation and food services",175300
2021-12-01,"British Columbia","services","Other services (except public administration)",102200
2021-12-01,"British Columbia","services","Public administration",138300
2022-01-01,"British Columbia","all industries","Total employed, all industries",2703500
2022-01-01,"British Columbia","total goods","Goods-producing sector",496700
2022-01-01,"British Columbia","goods","Agriculture",22500
2022-01-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",46200
2022-01-01,"British Columbia","goods","Utilities",15900
2022-01-01,"British Columbia","goods","Construction",217300
2022-01-01,"British Columbia","goods","Manufacturing",194800
2022-01-01,"British Columbia","total services","Services-producing sector",2206800
2022-01-01,"British Columbia","services","Wholesale and retail trade",433200
2022-01-01,"British Columbia","services","Transportation and warehousing",144300
2022-01-01,"British Columbia","services","Finance, insurance, real estate, rental and leasing",166500
2022-01-01,"British Columbia","services","Professional, scientific and technical services",259400
2022-01-01,"British Columbia","services","Business, building and other support services",85300
2022-01-01,"British Columbia","services","Educational services",193400
2022-01-01,"British Columbia","services","Health care and social assistance",370200
2022-01-01,"British Columbia","services","Information, culture and recreation",139800
2022-01-01,"British Columbia","services","Accommodation and food services",174800
2022-01-01,"British Columbia","services","Other services (except public administration)",102400
2022-01-01,"British Columbia","services","Public administration",137400
2022-02-01,"British Columbia","all industries","Total employed, all industries",2736700
2022-02-01,"British Columbia","total goods","Goods-producing sector",505600
2022-02-01,"British Columbia","goods","Agriculture",23600
2022-02-01,"British Columbia","goods","Forestry, fishing, mining, quarrying, oil and gas",46000
2022-02-01,"British Columbia","goods","Utilities",15400
2022-02-01,"British Columbia","goods","Construction",224500
